Algoritmo,Database,Tempo,Rotations,Height
BST,1M Desordenado,2960202193,0,510
BST,1M Ordenado,1240212370397,0,1000000
BST,1M Ordenado 50F,211321283,0,289
BST,2M Desordenado,12960247821,0,1819
BST,2M Ordenado,3956120156047,0,200000
BST,2M Ordenado 50F,1821836130,0,1012
BST,3M Desordenado,31712546920,0,2577
BST,3M Ordenado,13213514622981,0,3000000
BST,3M Ordenado 50F,2102164205,0,1426
AVL,1M Desordenado,850204390,699167,23
AVL,1M Ordenado,180409992,999980,20
AVL,1M Ordenado 50F,402810782,970100,20
AVL,2M Desordenado,1750154909,1481526,22
AVL,2M Ordenado,210141054,1940291,21
AVL,2M Ordenado 50F,910788476,1365792,25
AVL,3M Desordenado,1851703286,2093132,24
AVL,3M Ordenado,495804516,2909961,23
AVL,3M Ordenado 50F,1605206071,2392105,25
Rubro-Negra,1M Desordenado,540701062,582836,24
Rubro-Negra,1M Ordenado,278910377,999963,27
Rubro-Negra,1M Ordenado 50F,307042165,758520,36
Rubro-Negra,2M Desordenado,913742020,1164186,30
Rubro-Negra,2M Ordenado,587304856,1999960,40
Rubro-Negra,2M Ordenado 50F,745700934,1399961,39
Rubro-Negra,3M Desordenado,2470428884,1007090,34
Rubro-Negra,3M Ordenado,820420082,2999980,41
Rubro-Negra,3M Ordenado 50F,1235306722,1929944,38
SPLAY,1M Desordenado,675040410,43123106,283
SPLAY,1M Ordenado,616778435,70688645,1000000
SPLAY,1M Ordenado 50F,628397304,106068087,437764
SPLAY,2M Desordenado,1247486385,176926648,1548
SPLAY,2M Ordenado,449492025,195489341,2000000
SPLAY,2M Ordenado 50F,1618879021,216660360,1264143
SPLAY,3M Desordenado,1337546920,241445311,4631
SPLAY,3M Ordenado,335462981,293011171,3000000
SPLAY,3M Ordenado 50F,3221064205,302684742,1527956


